GENEID,transcript count
ENSMUSG00000001249.15,7
ENSMUSG00000001260.11,3
ENSMUSG00000001270.10,5
ENSMUSG00000001280.14,2
ENSMUSG00000001281.11,3
ENSMUSG00000001285.13,10
ENSMUSG00000001288.16,4
ENSMUSG00000001289.13,8
ENSMUSG00000001300.17,2
ENSMUSG00000001305.6,2
ENSMUSG00000001313.13,3
ENSMUSG00000001323.18,10
ENSMUSG00000001333.10,2
ENSMUSG00000001334.10,1
ENSMUSG00000001348.16,5
ENSMUSG00000001349.6,2
ENSMUSG00000001366.15,6
ENSMUSG00000001376.18,7
ENSMUSG00000001380.8,4
ENSMUSG00000001383.10,2
ENSMUSG00000001403.14,2
ENSMUSG00000001415.11,8
ENSMUSG00000001416.14,9
ENSMUSG00000001418.14,9
ENSMUSG00000001419.18,7
ENSMUSG00000001424.15,11
ENSMUSG00000001435.16,3
ENSMUSG00000001436.16,8
ENSMUSG00000001440.6,3
ENSMUSG00000001441.14,17
ENSMUSG00000001444.3,1
ENSMUSG00000001445.11,2
ENSMUSG00000001467.6,1
ENSMUSG00000001472.18,10
ENSMUSG00000001473.8,2
ENSMUSG00000001482.16,11
ENSMUSG00000001493.10,1
ENSMUSG00000001494.7,1
ENSMUSG00000001496.16,2
ENSMUSG00000001497.19,2
ENSMUSG00000001504.11,3
ENSMUSG00000001506.11,2
ENSMUSG00000001507.17,5
ENSMUSG00000001508.16,4
ENSMUSG00000001510.9,1
ENSMUSG00000001517.15,6
ENSMUSG00000001518.13,10
ENSMUSG00000001520.13,6
ENSMUSG00000001521.13,6
ENSMUSG00000001524.15,7
ENSMUSG00000001525.11,4
ENSMUSG00000001542.8,5
ENSMUSG00000001552.15,8
ENSMUSG00000001555.11,4
ENSMUSG00000001558.6,1
ENSMUSG00000001569.11,2
ENSMUSG00000001576.16,14
ENSMUSG00000001583.14,2
ENSMUSG00000001588.13,2
ENSMUSG00000001604.15,1
ENSMUSG00000001627.13,9
ENSMUSG00000001630.14,3
ENSMUSG00000001632.17,10
ENSMUSG00000001642.19,3
ENSMUSG00000001663.11,3
ENSMUSG00000001665.12,2
ENSMUSG00000001666.9,2
ENSMUSG00000001672.15,1
ENSMUSG00000001674.12,2
ENSMUSG00000001687.16,5
ENSMUSG00000001700.11,4
ENSMUSG00000001707.9,3
ENSMUSG00000001729.15,8
ENSMUSG00000001741.13,5
ENSMUSG00000001750.17,10
ENSMUSG00000001751.10,1
ENSMUSG00000001755.13,4
ENSMUSG00000001761.8,2
ENSMUSG00000001763.15,3
ENSMUSG00000001767.6,3
ENSMUSG00000001768.17,7
ENSMUSG00000001773.15,3
ENSMUSG00000001774.9,9
ENSMUSG00000001783.4,2
ENSMUSG00000001785.14,5
ENSMUSG00000001786.15,7
ENSMUSG00000001794.14,8
ENSMUSG00000001802.17,4
ENSMUSG00000001815.16,1
ENSMUSG00000001827.13,11
ENSMUSG00000001829.18,9
ENSMUSG00000001833.18,9
ENSMUSG00000001844.11,13
ENSMUSG00000001847.15,4
ENSMUSG00000001855.16,10
